日文,中文
識,识
鴫,鴫
竺,竺
軸,轴
宍,宍
雫,雫
七,七
叱,叱
執,执
失,失
嫉,嫉
室,室
悉,悉
湿,湿
漆,漆
疾,疾
質,质
実,实
蔀,蔀
篠,篠
偲,偲
柴,柴
芝,芝
屡,屡
蕊,蕊
縞,缟
舎,舍
写,写
射,射
捨,舍
赦,赦
斜,斜
煮,煮
社,社
紗,纱
者,者
謝,谢
車,车
遮,遮
蛇,蛇
邪,邪
借,借
勺,勺
尺,尺
杓,杓
灼,灼
爵,爵
酌,酌
釈,释
錫,锡
若,若
寂,寂
弱,弱
惹,惹
主,主
取,取
守,守
手,手
朱,朱
殊,殊
狩,狩
珠,珠
種,种
腫,肿
趣,趣
酒,酒
首,首
儒,儒
受,受
呪,咒
寿,寿
授,授
樹,树
綬,绶
需,需
囚,囚
収,收
周,周
宗,宗
就,就
州,州
修,修
愁,愁
拾,拾
洲,洲
秀,秀
秋,秋
終,终
繍,繍
習,习
臭,臭
舟,舟
蒐,蒐
衆,众
襲,袭
讐,讐
蹴,蹴
輯,辑
週,周
酋,酋
酬,酬
集,集
醜,丑
什,什
住,住
充,充
十,十
従,从
戎,戎
柔,柔
汁,汁
渋,涩
獣,兽
縦,纵
重,重
銃,铳
叔,叔
夙,夙
宿,宿
淑,淑
祝,祝
縮,缩
粛,肃
塾,塾
熟,熟
出,出
術,术
述,述
俊,俊
峻,峻
春,春
瞬,瞬
竣,竣
舜,舜
駿,骏
准,准
循,循
旬,旬
楯,楯
殉,殉
淳,淳
準,准
潤,润
盾,盾
純,纯
巡,巡
遵,遵
醇,醇
順,顺
処,处
初,初
所,所
暑,暑
曙,曙
渚,渚
庶,庶
緒,绪
署,署
書,书
薯,薯
藷,藷
諸,诸
助,助
叙,叙
女,女
序,序
徐,徐
恕,恕
鋤,锄
除,除
傷,伤
償,偿
勝,胜
匠,匠
升,升
召,召
哨,哨
商,商
唱,唱
嘗,尝
奨,奖
妾,妾
娼,娼
宵,宵
将,将
小,小
少,少
尚,尚
庄,庄
床,床
廠,厂
彰,彰
承,承
抄,抄
招,招
掌,掌
捷,捷
昇,升
昌,昌
昭,昭
晶,晶
松,松
梢,梢
樟,樟
樵,樵
沼,沼
消,消
渉,涉
湘,湘
焼,烧
焦,焦
照,照
症,症
省,省
硝,硝
礁,礁
